//logi 2+, 3+, 4+, 5+
//Difficulty==2 (solved count = 176, percent = 100.0) (maxDepth == 5)
"o10665"                                                                                                   2.153s 100.0%
"o01658"                                                                                                   2.184s 100.0%
"o10980"                                                                                                   2.261s 100.0%
"o02133"                                                                                                   2.302s 100.0%
"o03828"                                                                                                   2.350s 100.0%
"o11582"                                                                                                   2.378s 100.0%
"o08049"                                                                                                   2.410s 100.0%
"o08004"                                                                                                   2.438s 100.0%
"o03843"                                                                                                   2.557s 100.0%
"o03757"                                                                                                   2.659s 100.0%
"o11185"                                                                                                   2.664s 100.0%
"o10015"                                                                                                   2.676s 100.0%
"o09547"                                                                                                   2.679s 100.0%
"o02137"                                                                                                   2.717s 100.0%
"o11525"                                                                                                   2.779s 100.0%
"o00168"                                                                                                   2.835s 100.0%
"o03302"                                                                                                   2.912s 100.0%
"o09889"                                                                                                   3.138s 100.0%
"o11197"                                                                                                   3.174s 100.0%
"o12367"                                                                                                   3.190s 100.0%
"o08061"                                                                                                   3.230s 100.0%
"o03810"                                                                                                   3.266s 100.0%
"o10291"                                                                                                   3.295s 100.0%
"o03429"                                                                                                   3.451s 100.0%
"o09328"                                                                                                   3.534s 100.0%
"o08318"                                                                                                   3.991s 100.0%
"o03965"                                                                                                   4.069s 100.0%
"o10289"                                                                                                   4.501s 100.0%
"o10348"                                                                                                   4.749s 100.0%
"o07432"                                                                                                   4.843s 100.0%
"o10292"                                                                                                   8.657s 100.0%
"o10375"                                                                                                   8.906s 100.0%
"o09976"                                                                                                  22.599s 100.0%
"o04678"                                                                                                  49.187s 100.0%

//Difficulty==3  (solved count = 224, percent = 100.0) (maxDepth == 5)
"o10155"	                                                                                               0.191s 100.0%
"o07959"	                                                                                               0.210s 100.0%
"o07940"	                                                                                               0.221s 100.0%
"o10396"	                                                                                               0.243s 100.0%
"o08327"	                                                                                               0.318s 100.0%
"o07490"	                                                                                               0.335s 100.0%
"o07982"	                                                                                               0.344s 100.0%
"o07972"	                                                                                               0.353s 100.0%
"o11619"	                                                                                               0.360s 100.0%
"o09144"	                                                                                               0.361s 100.0%
"o07708"	                                                                                               0.398s 100.0%
"o07849"	                                                                                               0.401s 100.0%
"o11188"	                                                                                               0.419s 100.0%
"o06481"	                                                                                               0.439s 100.0%
"o08165"	                                                                                               0.446s 100.0%
"o06734"	                                                                                               0.477s 100.0%
"o07405"	                                                                                               0.478s 100.0%
"o10357"	                                                                                               0.498s 100.0%
"o07815"	                                                                                               0.509s 100.0%
"o10328"	                                                                                               0.518s 100.0%
"o07973"	                                                                                               0.574s 100.0%
"o07391"	                                                                                               0.587s 100.0%
"o05424"	                                                                                               0.632s 100.0%
"o08474"	                                                                                               0.638s 100.0%
"o08006"	                                                                                               0.648s 100.0%
"o11144"	                                                                                               0.654s 100.0%
"o07058"	                                                                                               0.659s 100.0%
"o06796"	                                                                                               0.660s 100.0%
"o07270"	                                                                                               0.662s 100.0%
"o10629"	                                                                                               0.687s 100.0%
"o07552"	                                                                                               0.748s 100.0%
"o07479"	                                                                                               0.790s 100.0%
"o09526"	                                                                                               0.806s 100.0%
"o07826"	                                                                                               0.807s 100.0%
"o07150"	                                                                                               0.837s 100.0%
"o06908"	                                                                                               0.846s 100.0%
"o08328"	                                                                                               0.854s 100.0%
"o02232"	                                                                                               0.910s 100.0%
"o03285"	                                                                                               0.919s 100.0%
"o10527"	                                                                                               0.951s 100.0%
"o07164"	                                                                                               0.959s 100.0%
"o07515"	                                                                                               0.985s 100.0%
"o06873"	                                                                                               0.985s 100.0%
"o07475"	                                                                                               0.988s 100.0%
"o10934"	                                                                                               0.989s 100.0%
"o10458"	                                                                                               0.995s 100.0%
"o10557"	                                                                                               1.023s 100.0%
"o10376"	                                                                                               1.037s 100.0%
"o08393"	                                                                                               1.041s 100.0%
"o07473"	                                                                                               1.040s 100.0%
"o08361"	                                                                                               1.065s 100.0%
"o10651"	                                                                                               1.067s 100.0%
"o07628"	                                                                                               1.082s 100.0%
"o10121"	                                                                                               1.094s 100.0%
"o11517"	                                                                                               1.132s 100.0%
"o11775"	                                                                                               1.144s 100.0%
"o08489"	                                                                                               1.154s 100.0%
"o08466"	                                                                                               1.158s 100.0%
"o10782"	                                                                                               1.161s 100.0%
"o07845"	                                                                                               1.186s 100.0%
"o07296"	                                                                                               1.187s 100.0%
"o08735"	                                                                                               1.191s 100.0%
"o07966"	                                                                                               1.195s 100.0%
"o07300"	                                                                                               1.206s 100.0%
"o09913"	                                                                                               1.220s 100.0%
"o10997"	                                                                                               1.223s 100.0%
"o06063"	                                                                                               1.238s 100.0%
"o07542"	                                                                                               1.249s 100.0%
"o07962"	                                                                                               1.249s 100.0%
"o12016"	                                                                                               1.252s 100.0%
"o07804"	                                                                                               1.256s 100.0%
"o07474"	                                                                                               1.280s 100.0%
"o07828"	                                                                                               1.286s 100.0%
"o11152"	                                                                                               1.289s 100.0%
"o08531"	                                                                                               1.312s 100.0%
"o11784"	                                                                                               1.320s 100.0%
"o08807"	                                                                                               1.375s 100.0%
"o11458"	                                                                                               1.376s 100.0%
"o06655"	                                                                                               1.377s 100.0%
"o07750"	                                                                                               1.407s 100.0%
"o07532"	                                                                                               1.412s 100.0%
"o11431"	                                                                                               1.417s 100.0%
"o08235"	                                                                                               1.426s 100.0%
"o07544"	                                                                                               1.435s 100.0%
"o02274"	                                                                                               1.475s 100.0%
"o06085"	                                                                                               1.488s 100.0%
"o07644"	                                                                                               1.527s 100.0%
"o04175"	                                                                                               1.533s 100.0%
"o11790"	                                                                                               1.546s 100.0%
"o08996"	                                                                                               1.550s 100.0%
"o05540"                             	                                                                   1.561s 100.0%
"o11206"	                                                                                               1.562s 100.0%
"o04855"	                                                                                               1.573s 100.0%
"o10617"	                                                                                               1.574s 100.0%
"o09390"	                                                                                               1.587s 100.0%
"o08557"	                                                                                               1.594s 100.0%
"o08143"	                                                                                               1.595s 100.0%
"o06556"	                                                                                               1.606s 100.0%
"o11485"	                                                                                               1.632s 100.0%
"o07595"	                                                                                               1.642s 100.0%
"o11372"	                                                                                               1.670s 100.0%
"o09951"	                                                                                               1.696s 100.0%
"o03700"	                                                                                               1.709s 100.0%
"o07635"	                                                                                               1.726s 100.0%
"o10661"	                                                                                               1.736s 100.0%
"o07291"	                                                                                               1.761s 100.0%
"o08179"	                                                                                               1.786s 100.0%
"o11831"	                                                                                               1.787s 100.0%
"o10712"	                                                                                               1.813s 100.0%
"o11186"	                                                                                               1.817s 100.0%
"o07908"	                                                                                               1.824s 100.0%
"o07489"	                                                                                               1.874s 100.0%
"o08418"	                                                                                               1.892s 100.0%
"o11503"	                                                                                               1.905s 100.0%
"o07931"	                                                                                               1.961s 100.0%
"o08405"	                                                                                               2.020s 100.0%
"o08271"	                                                                                               2.048s 100.0%
"o10429"	                                                                                               2.089s 100.0%
"o03856"	                                                                                               2.093s 100.0%
"o11439"	                                                                                               2.116s 100.0%
"o07549"	                                                                                               2.141s 100.0%
"o08553"	                                                                                               2.184s 100.0%
"o07748"	                                                                                               2.194s 100.0%
"o07858"	                                                                                               2.225s 100.0%
"o10336"	                                                                                               2.243s 100.0%
"o08777"	                                                                                               2.245s 100.0%
"o10003"	                                                                                               2.251s 100.0%
"o08046"	                                                                                               2.256s 100.0%
"o08331"	                                                                                               2.270s 100.0%
"o05618"	                                                                                               2.277s 100.0%
"o10164"	                                                                                               2.287s 100.0%
"o04018"	                                                                                               2.304s 100.0%
"o08173"	                                                                                               2.346s 100.0%
"o09832"	                                                                                               2.411s 100.0%
"o07705"	                                                                                               2.423s 100.0%
"o07586"	                                                                                               2.537s 100.0%
"o09272"	                                                                                               2.562s 100.0%
"o08136"	                                                                                               2.572s 100.0%
"o09164"	                                                                                               2.591s 100.0%
"o06287"	                                                                                               2.609s 100.0%
"o11949"	                                                                                               2.658s 100.0%
"o08056"	                                                                                               2.686s 100.0%
"o07632"	                                                                                               2.697s 100.0%
"o12649"	                                                                                               2.699s 100.0%
"o07482"	                                                                                               2.732s 100.0%
"o08342"	                                                                                               2.750s 100.0%
"o07584"	                                                                                               2.754s 100.0%
"o05420"	                                                                                               2.763s 100.0%
"o11145"	                                                                                               2.765s 100.0%
"o10389"	                                                                                               2.792s 100.0%
"o06747"	                                                                                               2.811s 100.0%
"o08072"	                                                                                               2.813s 100.0%
"o10672"	                                                                                               2.818s 100.0%
"o10559"	                                                                                               2.839s 100.0%
"o07351"	                                                                                               2.886s 100.0%
"o11528"	                                                                                               2.897s 100.0%
"o05614"	                                                                                               3.016s 100.0%
"o06479"	                                                                                               3.100s 100.0%
"o10136"	                                                                                               3.290s 100.0%
"o11149"	                                                                                               3.369s 100.0%
"o05765"	                                                                                               3.390s 100.0%
"o07579"	                                                                                               3.505s 100.0%
"o07309"	                                                                                               3.801s 100.0%
"o05503"	                                                                                               4.305s 100.0%
"o06211"	                                                                                               4.541s 100.0%
"o09983"	                                                                                               4.726s 100.0%
"o09394"	                                                                                               5.054s 100.0%
"o10879"	                                                                                               5.198s 100.0%
"o06514"	                                                                                               5.292s 100.0%
"o08542"	                                                                                               5.413s 100.0%
"o11211"	                                                                                               5.639s 100.0%
"o07953"	                                                                                               5.719s 100.0%
"o10401"	                                                                                               5.846s 100.0%
"o11283"	                                                                                               5.873s 100.0%
"o04988"	                                                                                               6.204s 100.0%
"o07534"	                                                                                               6.442s 100.0%
"o06011"	                                                                                               6.447s 100.0%
"o05143"	                                                                                               6.939s 100.0%
"o06602"	                                                                                               7.738s 100.0%
"o05985"	                                                                                               7.811s 100.0%
"o08227"	                                                                                               8.176s 100.0%
"o10648"	                                                                                               8.579s 100.0%
"o08196"	                                                                                               8.619s 100.0%
"o11505"	                                                                                               8.772s 100.0%
"o08048"	                                                                                               8.880s 100.0%
"o07338"	                                                                                               9.216s 100.0%
"o10430"	                                                                                              10.875s 100.0%
"o06582"	                                                                                              11.511s 100.0%
"o11612"	                                                                                              13.510s 100.0%
"o08388"	                                                                                              13.891s 100.0%
"o04761"	                                                                                              14.160s 100.0%
"o09800"	                                                                                              15.174s 100.0%
"o11215"	                                                                                              15.668s 100.0%
"o08214"	                                                                                              16.074s 100.0%
"o10340"	                                                                                              18.188s 100.0%
"o03689"	                                                                                              16.728s 100.0%
"o07811"	                                                                                              18.240s 100.0%
"o08198"	                                                                                              20.914s 100.0%
"o03697"	                                                                                              21.210s 100.0%
"o06554"	                                                                                              23.035s 100.0%
"o11487"	                                                                                              24.245s 100.0%
